Unnamed: 0,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,tran_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,st_age,st_ageerr1,st_ageerr2,st_agelim,dt_obj,pl_Teq,pl_rprs2,scale,TSM,efficiency,efficiency_kmag,ed_ESM,ESM,pl_masse,pl_masseerr2,pl_masseerr1,pl_masse_calc,pl_g,pl_rho_ratio,pl_vesc,score_CO2,score_CH4,score_N2O2
473,K2-18 b,K2-18,0,1,2,Transit,2015,K2,1,Published Confirmed,0,<a refstr=BENNEKE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...887L..14B/abstract target=ref>Benneke et al. 2019</a>,32.940045,1e-05,-1e-05,0.0,0.1591,0.00046,-0.00047,0.0,2.61,0.087,-0.087,0.0,0.233,0.008,-0.008,0.0,8.63,1.35,-1.35,0.0,0.02715,0.00425,-0.00425,0.0,Mass,0.2,0.08,-0.08,0.0,1.0,0.08,-0.08,0.0,254.9,3.9,-3.9,0.0,89.579,0.008,-0.009,0.0,0,2.663,0.023,-0.027,0.0,83.83,9.03,-9.03,0.0,0.0543822474420792,0.00012,-0.00012,0.0,,,,,<a refstr=BENNEKE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...887L..14B/abstract target=ref>Benneke et al. 2019</a>,M2.5 V,3457.0,39.0,-39.0,0.0,0.44,0.01,-0.01,0.0,0.5,0.0,-0.0,0.0,0.12,0.16,-0.16,0.0,[Fe/H],4.86,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h30m14.43s,172.560141,+07d35m16.19s,7.5878315,38.0266,0.07955,-0.07955,13.477,0.042,-0.042,9.763,0.028,-0.028,9.135,0.026,-0.026,8.899,0.019,-0.019,12.4154,0.000502,-0.000502,2020-03-26,2019-12,2020-04-02,,,,,2019-12-01,278.0,0.0029574288368515,1.26,41.57389495297336,1.0,1.0,4.145472382958068,0.2952781548922217,8.63,-1.35,1.35,8.63,12.42792971330427,0.3104619233535807,20.34038181070496,3.349636146885923,1.2884381545662118,2.549893686400609
3633,LHS 1140 b,LHS 1140,1,1,2,Transit,2017,MEarth Project,1,Published Confirmed,0,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,24.73723,2e-05,-2e-05,0.0,0.0946,0.0017,-0.0017,0.0,1.73,0.025,-0.025,0.0,0.154,0.002,-0.002,0.0,5.6,0.19,-0.19,0.0,0.01762,0.0006,-0.0006,0.0,Mass,0.043,,,1.0,0.43,0.03,-0.03,0.0,226.0,4.0,-4.0,0.0,89.86,0.04,-0.04,0.0,0,2.15,0.05,-0.05,0.0,95.3,1.1,-1.1,0.0,0.0720929410534844,8e-05,-8e-05,0.0,,,,,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,M4.5 V,3096.0,48.0,-48.0,0.0,0.22,0.0,-0.0,0.0,0.18,0.0,-0.0,0.0,-0.15,0.09,-0.09,0.0,[Fe/H],5.04,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h44m59.67s,11.248632,-15d16m26.79s,-15.2741085,14.9861,0.0153,-0.0152,14.15,0.062,-0.062,9.612001,0.023,-0.023,9.092,0.026,-0.026,8.821,0.024,-0.024,12.6706,0.000356,-0.000356,2024-03-04,2024-01,2024-03-04,5.0,,,-1.0,2024-01-01,225.11887502209933,0.0051973921497411,1.26,64.7868963986204,1.0,1.0,1.9281790435960104,0.1423654648828132,5.6,-0.19,0.19,5.6,18.355441210865713,0.7745882170510308,20.125418429182556,3.172953863123396,1.1516940086355465,2.2594580406765923
3803,TOI-1468 c,TOI-1468,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=CHATURVEDI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...666A.155C/abstract target=ref>Chaturvedi et al. 2022</a>,15.532482,3.4e-05,-3.3e-05,0.0,,,,,2.064,0.044,-0.044,0.0,0.184,0.004,-0.004,0.0,6.64,0.67,-0.68,0.0,0.02089,0.00211,-0.00214,0.0,Mass,,,,,2.15,0.09,-0.09,0.0,337.5,3.7,-3.4,0.0,89.335,0.032,-0.035,0.0,0,,,,,53.69,0.84,-0.97,0.0,0.0556544758136113,,,,,,,,<a refstr=CHATURVEDI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...666A.155C/abstract target=ref>Chaturvedi et al. 2022</a>,M3.0 V,3496.0,25.0,-25.0,0.0,0.34,0.01,-0.01,0.0,0.34,0.01,-0.01,0.0,-0.04,0.07,-0.07,0.0,[Fe/H],5.0,0.11,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h06m36.93s,16.6538724,+19d13m29.71s,19.2249195,24.7399,0.0469,-0.0467,12.5,0.2,-0.2,9.343,0.021,-0.021,8.782,0.021,-0.021,8.497,0.017,-0.017,12.1172,0.000697,-0.000697,2022-11-07,2022-10,2022-11-07,,,,,2022-10-01,336.6312353941885,0.0030974206780878,1.26,65.75489996961036,1.0,0.9643586152833696,12.80764519064604,1.097808477152082,6.64,-0.68,0.67,6.64,15.290359653866956,0.5185830050180676,20.06333616282327,2.751310665015468,0.7643575612032372,1.9136117330037083
4176,TOI-776 c,TOI-776,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=FRIDLUND_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A..12F/abstract target=ref>Fridlund et al. 2024</a>,15.665323,7.5e-05,-7e-05,0.0,0.1001,0.0022,-0.0024,0.0,2.047,0.081,-0.078,0.0,0.183,0.007,-0.007,0.0,6.9,2.6,-2.5,0.0,0.02171,0.00818,-0.00787,0.0,Mass,0.089,0.048,-0.054,0.0,4.9,0.2,-0.2,0.0,420.0,10.0,-10.0,0.0,89.49,0.3,-0.2,0.0,0,2.932,0.038,-0.038,0.0,39.4,1.6,-1.8,0.0,0.0341212139506318,0.0009,-0.0009,0.0,,,,,<a refstr=FRIDLUND_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A..12F/abstract target=ref>Fridlund et al. 2024</a>,M1 V,3725.0,60.0,-60.0,0.0,0.55,0.02,-0.02,0.0,0.54,0.04,-0.04,0.0,-0.21,0.08,-0.08,0.0,[Fe/H],4.8,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h54m18.72s,178.577997,-37d33m12.08s,-37.5533568,27.1701,0.03205,-0.03205,11.536,0.041,-0.041,8.483,0.018,-0.018,7.877,0.04,-0.04,7.615,0.02,-0.02,10.7409,0.000478,-0.000478,2024-06-10,2024-04,2024-06-10,6.1,7.0,-5.5,0.0,2024-04-01,413.61265295191,0.0011642572414647,1.26,43.066880899084055,0.95956039602044,0.6783710030195107,11.742284157856412,1.5108100950890984,6.9,-2.5,2.6,6.9,16.154086824786067,0.5464713057737834,20.537121889285114,2.7288166510378313,0.6507736523948852,1.9213389244231527
3798,TOI-1452 b,TOI-1452,1,2,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=CADIEUX_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...96C/abstract target=ref>Cadieux et al. 2022</a>,11.06201,2e-05,-2e-05,0.0,0.061,0.003,-0.003,0.0,1.672,0.071,-0.071,0.0,0.149,0.006,-0.006,0.0,4.82,1.3,-1.3,0.0,0.01517,0.00409,-0.00409,0.0,Mass,0.0,,,0.0,1.8,0.2,-0.2,0.0,326.0,7.0,-7.0,0.0,89.77,0.16,-0.16,0.0,0,,,,,46.83928571428571,,,,0.0547453910757921,,,,,,,,<a refstr=CADIEUX_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...96C/abstract target=ref>Cadieux et al. 2022</a>,M4 &#177 0.5 V,3185.0,50.0,-50.0,0.0,0.28,0.01,-0.01,0.0,0.25,0.01,-0.01,0.0,-0.07,0.02,-0.02,0.0,[M/H],4.95,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h20m41.75s,290.1739741,+73d11m42.39s,73.1951082,30.5212,0.0392,-0.039,14.354,0.121,-0.121,10.604,0.058,-0.058,10.026,0.058,-0.058,9.74,0.046,-0.046,13.6233,0.000469,-0.000469,2022-08-30,2022-09,2022-08-30,,,,,2022-09-01,322.0052275101388,0.0029970578440414,1.26,37.99961405428319,1.0,1.0,11.057596451155746,0.5347096579606826,4.82,-1.3,1.3,4.82,16.913889906366617,0.7654806455924642,18.992377732180977,2.3942425110609746,0.6058552074032422,1.5914665694565722
4175,TOI-776 b,TOI-776,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=FRIDLUND_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A..12F/abstract target=ref>Fridlund et al. 2024</a>,8.24662,2.4e-05,-3.1e-05,0.0,0.0653,0.0014,-0.0016,0.0,1.798,0.078,-0.077,0.0,0.16,0.007,-0.007,0.0,5.0,1.6,-1.6,0.0,0.01573,0.00503,-0.00503,0.0,Mass,0.052,0.037,-0.035,0.0,11.5,0.6,-0.6,0.0,520.0,12.0,-12.0,0.0,89.41,0.39,-0.36,0.0,0,2.382,0.05,-0.048,0.0,27.87,0.97,-1.02,0.0,0.0299706608125236,0.0008,-0.0008,0.0,,,,,<a refstr=FRIDLUND_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A..12F/abstract target=ref>Fridlund et al. 2024</a>,M1 V,3725.0,60.0,-60.0,0.0,0.55,0.02,-0.02,0.0,0.54,0.04,-0.04,0.0,-0.21,0.08,-0.08,0.0,[Fe/H],4.8,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h54m18.72s,178.577997,-37d33m12.08s,-37.5533568,27.1701,0.03205,-0.03205,11.536,0.041,-0.041,8.483,0.018,-0.018,7.877,0.04,-0.04,7.615,0.02,-0.02,10.7409,0.000478,-0.000478,2024-06-10,2024-04,2024-06-10,6.1,7.0,-5.5,0.0,2024-04-01,511.9402262060744,0.0008982405095393,1.26,49.8498068585534,0.95956039602044,0.6783710030195107,20.74894420306442,2.6696436522068265,5.0,-1.6,1.6,5.0,15.17258701733851,0.6337391350599685,18.65366251250878,1.9049364631478833,0.13148484902565083,1.248489591340972
3978,TOI-260 b,TOI-260,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=HOBSON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240606278H/abstract target=ref>Hobson et al. 2024</a>,13.475853,1.3e-05,-1.1e-05,0.0,0.0943,0.0016,-0.0016,0.0,1.71,0.08,-0.08,0.0,0.153,0.007,-0.007,0.0,4.23,1.6,-1.6,0.0,0.01331,0.00503,-0.00503,0.0,Mass,0.0,,,0.0,9.907719725238351,,,,493.0,12.0,-12.0,0.0,88.84,0.17,-0.17,0.0,0,2.37,0.27,-0.27,0.0,33.23688524590164,,,,0.0257001463321527,0.0011,-0.0001,0.0,,,,,<a refstr=HOBSON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240606278H/abstract target=ref>Hobson et al. 2024</a>,K8 V,4026.0,14.0,-14.0,0.0,0.61,0.01,-0.01,0.0,0.62,0.03,-0.03,0.0,-0.47,0.03,-0.03,0.0,[Fe/H],4.45,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h19m05.52s,4.7730178,-09d57m58.14s,-9.9661505,20.1852,0.0232,-0.0231,9.9,0.03,-0.03,7.376,0.02,-0.02,6.71,0.031,-0.031,6.549,0.021,-0.021,9.3124,0.000458,-0.000458,2024-08-30,2024-06,2024-08-30,15.9,2.8,-5.5,0.0,2024-06-01,493.0,0.000660497521494,1.26,66.07022079934153,0.6065798699287707,0.3769346604986065,12.07859970528795,2.539065361721532,4.23,-1.6,1.6,4.23,14.191135734072025,0.6491634405297282,17.593250448690892,1.7724916939236475,0.2395044679225672,1.3016451501587212
3985,TOI-270 c,TOI-270,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,5.6605746,4.6e-06,-4.6e-06,0.0,0.04526,0.00031,-0.00031,0.0,2.355,0.064,-0.064,0.0,0.21,0.006,-0.006,0.0,6.15,0.37,-0.37,0.0,0.01935,0.00116,-0.00116,0.0,Mass,0.027,0.021,-0.021,0.0,7.506161638606934,,,,488.0,12.0,-12.0,0.0,89.53,0.3,-0.42,0.0,0,1.658,0.015,-0.012,0.0,27.01,0.6,-1.58,0.0,0.0568167824152879,0.00079,-0.00079,0.0,,,,,<a refstr=G_UUML_NTHER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1099G/abstract target=ref>G&uuml;nther et al. 2019</a>,M3.0 V,3386.0,137.0,-131.0,0.0,0.38,0.02,-0.02,0.0,0.4,0.02,-0.02,0.0,-0.17,0.1,-0.1,0.0,[Fe/H],4.87,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h33m39.86s,68.4160804,-51d57m26.62s,-51.9573937,22.4793,0.01355,-0.01355,12.603,0.039,-0.039,9.099,0.032,-0.032,8.531,0.073,-0.073,8.251,0.029,-0.029,11.6306,0.000476,-0.000476,2024-03-04,2023-03,2024-03-04,,,,,2023-03-01,488.0,0.0032281467640261,1.26,136.93699474817225,1.0,0.8812621922421802,71.0119067894645,6.816924224977818,6.15,-0.37,0.37,6.15,10.878331778165444,0.32987645416192546,18.076571312051723,1.764440069859655,0.15649215927574922,1.174226411151699
3986,TOI-270 d,TOI-270,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=MIKAL_EVANS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165...84M/abstract target=ref>Mikal-Evans et al. 2023</a>,11.38014,1.2e-05,-1.2e-05,0.0,0.0721,0.0005,-0.0005,0.0,2.19,0.07,-0.07,0.0,0.195,0.006,-0.006,0.0,4.78,0.43,-0.43,0.0,0.01504,0.00135,-0.00135,0.0,Mass,0.0,0.023,-0.023,0.0,3.1341120352358387,,,,387.0,10.0,-10.0,0.0,89.68,0.12,-0.12,0.0,0,2.148,0.018,-0.018,0.0,41.8,0.61,-0.59,0.0,0.0528359887428791,0.00095,-0.00118,0.0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165...84M/abstract target=ref>Mikal-Evans et al. 2023</a>,M3 V,3386.0,137.0,-131.0,0.0,0.38,0.02,-0.02,0.0,0.4,0.02,-0.02,0.0,-0.17,0.1,-0.1,0.0,[Fe/H],4.87,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h33m39.86s,68.4160804,-51d57m26.62s,-51.9573937,22.4793,0.01355,-0.01355,12.603,0.039,-0.039,9.099,0.032,-0.032,8.531,0.073,-0.073,8.251,0.029,-0.029,11.6306,0.000476,-0.000476,2023-08-22,2023-03,2023-08-22,,,,,2023-03-01,387.0,0.0027916417064376,1.26,112.3618199132356,1.0,0.8812621922421802,23.74903514111819,2.279834189684895,4.78,-0.43,0.43,4.78,9.77706886845562,0.3384432397999881,16.525927666574194,1.750053390941913,0.41769615633042856,1.365399882706777
3815,TOI-1634 b,TOI-1634,1,2,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=LUQUE__AMP__PALL_EACUTE__2022 href=https://ui.adsabs.harvard.edu/abs/2022Sci...377.1211L/abstract target=ref>Luque &amp; Pall&eacute; 2022</a>,0.9893455,6e-06,-6e-06,0.0,0.0149,0.00017,-0.00017,0.0,1.773,0.077,-0.077,0.0,0.158,0.007,-0.007,0.0,7.57,0.71,-0.72,0.0,0.02382,0.00223,-0.00227,0.0,Mass,0.0,,,0.0,121.0,12.0,-11.0,0.0,920.0,25.0,-25.0,0.0,86.98,0.41,-0.41,0.0,0,1.027,0.028,-0.028,0.0,7.38,0.2,-0.2,0.0,0.036121480523214,0.001,-0.001,0.0,,,,,<a refstr=HIRANO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..161H/abstract target=ref>Hirano et al. 2021</a>,M2,3472.0,70.0,-70.0,0.0,0.45,0.02,-0.02,0.0,0.45,0.01,-0.01,0.0,0.19,0.12,-0.12,0.0,[Fe/H],4.79,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h45m33.75s,56.3906096,+37d06m44.21s,37.1122803,35.2736,0.0527,-0.0526,13.217,0.043,-0.043,9.484,0.021,-0.021,8.847,0.021,-0.021,8.6,0.014,-0.014,12.1965,0.000268,-0.000268,2023-07-10,2022-09,2023-07-10,,,,,2022-09-01,922.0216917188012,0.0013047613551889,1.26,53.56942482369235,1.0,0.9999163827810468,170.9764493427949,13.97634414974778,7.57,-0.72,0.71,7.57,23.623672630346345,0.9018862953252597,23.113596562758488,1.5690902814681777,-0.6062965148198298,0.8505878775107565
